brand_model,brand,model,mileage,fuel,gear,offer_type,price,hp,year,age
Hyundai Tucson,Hyundai,Tucson,23200,Gasoline,Automatic,Used,29490,177.0,2019,4
Mercedes-Benz C 220,Mercedes-Benz,C 220,68700,Diesel,Automatic,Employee's car,29670,194.0,2019,4
Volkswagen Golf Variant,Volkswagen,Golf Variant,29038,Diesel,Automatic,Used,29679,184.0,2019,4
SEAT Ateca,SEAT,Ateca,58779,Diesel,Automatic,Used,29850,190.0,2019,4
Volkswagen Caddy,Volkswagen,Caddy,23231,Gasoline,Automatic,Used,29925,131.0,2019,4
Mercedes-Benz Vito,Mercedes-Benz,Vito,36000,Diesel,Automatic,Used,29950,163.0,2019,4
Audi A4,Audi,A4,18700,Gasoline,Automatic,Used,29980,150.0,2019,4
Mercedes-Benz C 180,Mercedes-Benz,C 180,15595,Gasoline,Automatic,Employee's car,29980,156.0,2019,4
Mercedes-Benz C 180,Mercedes-Benz,C 180,4853,Gasoline,Automatic,Employee's car,29980,156.0,2019,4
Mercedes-Benz Vito,Mercedes-Benz,Vito,24646,Diesel,Automatic,Used,29990,136.0,2019,4
Volkswagen Tiguan,Volkswagen,Tiguan,16300,Gasoline,Automatic,Used,31290,190.0,2019,4
Volkswagen Golf,Volkswagen,Golf,17965,Gasoline,Automatic,Used,31574,245.0,2019,4
Renault Twingo,Renault,Twingo,40382,Gasoline,Manual,Used,6980,71.0,2019,4
Renault Twingo,Renault,Twingo,12000,Gasoline,Manual,Used,7500,73.0,2019,4
Skoda Citigo,Skoda,Citigo,25959,Gasoline,Manual,Used,7660,60.0,2019,4
Citroen C1,Citroen,C1,6192,Gasoline,Manual,Used,8140,72.0,2019,4
Renault Twingo,Renault,Twingo,8500,Gasoline,Manual,Used,8970,65.0,2019,4
Renault Clio,Renault,Clio,2300,Gasoline,Manual,Used,8970,76.0,2019,4
Renault Clio,Renault,Clio,38016,Gasoline,Manual,Used,8990,76.0,2019,4
Skoda Fabia,Skoda,Fabia,42500,Gasoline,Manual,Used,8999,60.0,2019,4
Opel Corsa,Opel,Corsa,110000,Gasoline,Manual,Used,9100,101.0,2019,4
smart forFour,smart,forFour,31529,Gasoline,Manual,Used,9122,90.0,2019,4
Hyundai i10,Hyundai,i10,12966,Gasoline,Manual,Used,9220,67.0,2019,4
Peugeot 108,Peugeot,108,15241,Gasoline,Manual,Used,9260,72.0,2019,4
Peugeot 108,Peugeot,108,24773,Gasoline,Manual,Used,9280,72.0,2019,4
Skoda Fabia,Skoda,Fabia,79000,Gasoline,Manual,Used,9390,75.0,2019,4
Citroen C3,Citroen,C3,23400,Gasoline,Manual,Used,9440,68.0,2019,4
Audi Q3,Audi,Q3,13740,Diesel,Automatic,Used,35476,150.0,2020,3
Audi A5,Audi,A5,7637,Diesel,Automatic,Employee's car,35531,163.0,2020,3
Volvo XC60,Volvo,XC60,21547,Diesel,Automatic,Used,35846,190.0,2020,3
BMW 520,BMW,520,13014,Diesel,Automatic,Used,35950,190.0,2020,3
BMW 520,BMW,520,5835,Diesel,Automatic,Used,35950,190.0,2020,3
BMW 520,BMW,520,4488,Diesel,Automatic,Used,35950,190.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,13040,Gasoline,Automatic,Used,35990,190.0,2020,3
Volkswagen Golf,Volkswagen,Golf,12402,Gasoline,Automatic,Used,36855,300.0,2020,3
Volkswagen Caddy,Volkswagen,Caddy,7000,Diesel,Automatic,Demonstration,36890,122.0,2020,3
Audi Q3,Audi,Q3,4259,Diesel,Manual,Used,36931,150.0,2020,3
BMW 520,BMW,520,15891,Diesel,Automatic,Used,36950,190.0,2020,3
Volkswagen Passat,Volkswagen,Passat,10,Gasoline,Automatic,Used,36987,190.0,2020,3
Audi Q3,Audi,Q3,13010,Diesel,Automatic,Used,37183,150.0,2020,3
Audi A6,Audi,A6,20275,Diesel,Automatic,Used,37400,204.0,2020,3
BMW 520,BMW,520,12613,Diesel,Automatic,Used,37450,190.0,2020,3
Audi A6,Audi,A6,21180,Diesel,Automatic,Used,37750,204.0,2020,3
Renault Captur,Renault,Captur,15739,Gasoline,Automatic,Used,21490,131.0,2020,3
Renault Captur,Renault,Captur,24423,Gasoline,Automatic,Used,21790,131.0,2020,3
Renault Captur,Renault,Captur,10777,Gasoline,Automatic,Used,21790,131.0,2020,3
Volkswagen Caddy,Volkswagen,Caddy,7500,Gasoline,Manual,Employee's car,21930,84.0,2020,3
Ford Mondeo,Ford,Mondeo,20929,Gasoline,Automatic,Used,21985,188.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,26708,Gasoline,Automatic,Used,22250,150.0,2020,3
Skoda Octavia,Skoda,Octavia,6,Gasoline,Manual,Pre-registered,22490,150.0,2020,3
Skoda Octavia,Skoda,Octavia,8,Gasoline,Manual,Pre-registered,22490,150.0,2020,3
Opel Corsa,Opel,Corsa,850,Electric,Automatic,Demonstration,22650,136.0,2020,3
Volkswagen Golf,Volkswagen,Golf,22000,Gasoline,Manual,Employee's car,22780,131.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,12700,Gasoline,Manual,Used,22880,131.0,2020,3
Renault Captur,Renault,Captur,7600,Gasoline,Automatic,Demonstration,22890,154.0,2020,3
Volkswagen Golf,Volkswagen,Golf,22953,Gasoline,Automatic,Used,31850,245.0,2020,3
Ford Kuga,Ford,Kuga,14647,Diesel,Automatic,Employee's car,31950,190.0,2020,3
Ford S-Max,Ford,S-Max,21941,Diesel,Automatic,Used,32250,190.0,2020,3
Mazda 6,Mazda,6,20,Gasoline,Automatic,Pre-registered,32950,194.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,1898,Gasoline,Automatic,Used,32950,150.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,11500,Diesel,Automatic,Used,32970,150.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,9337,Gasoline,Automatic,Employee's car,33390,150.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,18510,Gasoline,Automatic,Used,33970,190.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,23240,Diesel,Automatic,Used,34970,150.0,2020,3
Ford Kuga,Ford,Kuga,1217,Diesel,Automatic,Employee's car,34990,190.0,2020,3
Volkswagen Sharan,Volkswagen,Sharan,2500,Gasoline,Automatic,Demonstration,35590,150.0,2020,3
BMW 520,BMW,520,17708,Diesel,Automatic,Used,37950,190.0,2020,3
Audi A6,Audi,A6,22338,Diesel,Automatic,Used,38352,163.0,2020,3
BMW 520,BMW,520,5866,Diesel,Automatic,Used,38450,190.0,2020,3
Audi A6,Audi,A6,16786,Diesel,Automatic,Used,38450,204.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,4881,Diesel,Automatic,Used,38737,190.0,2020,3
Audi A6,Audi,A6,26541,Diesel,Automatic,Used,38982,163.0,2020,3
Audi A6,Audi,A6,20426,Diesel,Automatic,Used,39103,204.0,2020,3
BMW 520,BMW,520,9901,Diesel,Automatic,Used,39450,190.0,2020,3
BMW 520,BMW,520,4693,Diesel,Automatic,Used,39450,190.0,2020,3
Audi Q3,Audi,Q3,13200,Diesel,Automatic,Used,39470,150.0,2020,3
Audi A5,Audi,A5,6120,Gasoline,Automatic,Used,39742,245.0,2020,3
Mazda 3,Mazda,3,2000,Gasoline,Automatic,Used,22900,122.0,2020,3
Renault ZOE,Renault,ZOE,5400,Electric,Automatic,Demonstration,23280,69.0,2020,3
Hyundai i30,Hyundai,i30,2300,Gasoline,Manual,Demonstration,23295,159.0,2020,3
BMW X1,BMW,X1,10996,Gasoline,Manual,Used,23880,140.0,2020,3
Renault Captur,Renault,Captur,10,Gasoline,Automatic,Pre-registered,24290,131.0,2020,3
Volkswagen Golf,Volkswagen,Golf,15700,Gasoline,Manual,Employee's car,24380,131.0,2020,3
Hyundai i30,Hyundai,i30,9,Electric,Automatic,Used,24400,159.0,2020,3
Ford Kuga,Ford,Kuga,9810,Gasoline,Manual,Employee's car,24470,150.0,2020,3
Nissan Qashqai,Nissan,Qashqai,3800,Gasoline,Automatic,Used,24490,159.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,8150,Gasoline,Automatic,Used,36470,190.0,2020,3
Volkswagen Touran,Volkswagen,Touran,4330,Diesel,Automatic,Used,36740,150.0,2020,3
Volkswagen Touran,Volkswagen,Touran,10200,Gasoline,Automatic,Demonstration,37380,150.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,4660,Gasoline,Automatic,Used,37470,190.0,2020,3
Volkswagen Touran,Volkswagen,Touran,2180,Diesel,Automatic,Used,38740,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,16863,Gasoline,Automatic,Used,38950,300.0,2020,3
Audi A5,Audi,A5,12452,Gasoline,Automatic,Used,38990,190.0,2020,3
Audi Q3,Audi,Q3,9500,Gasoline,Automatic,Demonstration,39390,150.0,2020,3
Volkswagen Golf Plus,Volkswagen,Golf Plus,21762,Gasoline,Automatic,Used,39850,300.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,19683,Gasoline,Automatic,Used,40450,190.0,2020,3
Hyundai Tucson,Hyundai,Tucson,20,Diesel,Automatic,Pre-registered,40522,185.0,2020,3
Renault Megane,Renault,Megane,2000,Gasoline,Automatic,Demonstration,40880,300.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,6075,Gasoline,Automatic,Employee's car,40930,230.0,2020,3
Audi A5,Audi,A5,3295,Gasoline,Automatic,Used,39742,245.0,2020,3
Audi A5,Audi,A5,6883,Diesel,Automatic,Used,41476,190.0,2020,3
Audi A4,Audi,A4,8104,Gasoline,Automatic,Used,41896,190.0,2020,3
Audi A3,Audi,A3,6479,Gasoline,Automatic,Employee's car,41989,190.0,2020,3
Audi A5,Audi,A5,12856,Gasoline,Automatic,Used,42422,190.0,2020,3
Audi A5,Audi,A5,15760,Diesel,Automatic,Used,43481,190.0,2020,3
SEAT Ateca,SEAT,Ateca,10,Gasoline,Automatic,Pre-registered,43990,300.0,2020,3
Audi A4,Audi,A4,8699,Diesel,Automatic,Used,44603,231.0,2020,3
Audi A4,Audi,A4,14999,Gasoline,Automatic,Demonstration,44978,204.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,5,Diesel,Automatic,Used,46498,200.0,2020,3
Skoda Octavia,Skoda,Octavia,2500,Gasoline,Automatic,Used,24699,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,2000,Gasoline,Manual,Used,24720,131.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,9490,Gasoline,Automatic,Employee's car,24870,150.0,2020,3
Renault Captur,Renault,Captur,5788,Gasoline,Automatic,Employee's car,24890,154.0,2020,3
Volkswagen Golf,Volkswagen,Golf,16192,Gasoline,Automatic,Used,24900,150.0,2020,3
Volkswagen Golf Variant,Volkswagen,Golf Variant,6487,Gasoline,Manual,Used,24925,131.0,2020,3
Volkswagen Golf,Volkswagen,Golf,16200,Diesel,Manual,Used,24940,116.0,2020,3
Audi A1,Audi,A1,2429,Gasoline,Automatic,Employee's car,24990,110.0,2020,3
Renault Captur,Renault,Captur,21317,Gasoline,Automatic,Used,24990,155.0,2020,3
