brand_model,brand,model,mileage,fuel,gear,offer_type,price,hp,year,age
Volkswagen Golf,Volkswagen,Golf,92800,Gasoline,Manual,Used,6877,122.0,2011,12
Renault Megane,Renault,Megane,96200,Gasoline,Manual,Used,6950,110.0,2011,12
Peugeot 308,Peugeot,308,156000,Gasoline,Manual,Used,6950,156.0,2011,12
Toyota Auris,Toyota,Auris,147000,Electric,Automatic,Used,6950,99.0,2011,12
Renault Scenic,Renault,Scenic,91894,Diesel,Manual,Used,6970,131.0,2011,12
Opel Zafira,Opel,Zafira,127500,Gasoline,Manual,Used,6972,116.0,2011,12
Mazda 3,Mazda,3,115000,Gasoline,Automatic,Used,6980,150.0,2011,12
Ford Transit,Ford,Transit,104,Diesel,Manual,Used,6990,86.0,2011,12
Opel Meriva,Opel,Meriva,59580,Diesel,Automatic,Used,6990,101.0,2011,12
Volkswagen Golf,Volkswagen,Golf,84000,Gasoline,Manual,Used,6990,105.0,2011,12
Audi A4,Audi,A4,194020,Diesel,Manual,Used,6999,120.0,2011,12
Volkswagen Polo,Volkswagen,Polo,72000,Gasoline,Manual,Used,6999,60.0,2011,12
Opel Corsa,Opel,Corsa,82000,Gasoline,Manual,Used,7000,101.0,2011,12
Kia Picanto,Kia,Picanto,44800,Gasoline,Automatic,Used,7850,86.0,2012,11
Volkswagen Golf,Volkswagen,Golf,81970,Gasoline,Manual,Used,7850,105.0,2012,11
Dacia Duster,Dacia,Duster,24000,Gasoline,Manual,Used,7900,105.0,2012,11
BMW 118,BMW,118,299900,Diesel,Manual,Used,7950,143.0,2012,11
Opel Astra,Opel,Astra,104250,Gasoline,Manual,Used,7950,140.0,2012,11
Peugeot 308,Peugeot,308,151250,Diesel,Manual,Used,7950,163.0,2012,11
BMW 118,BMW,118,133500,Diesel,Manual,Used,7980,143.0,2012,11
Opel Astra,Opel,Astra,105000,Gasoline,Manual,Used,7980,179.0,2012,11
Ford Focus,Ford,Focus,114164,Gasoline,Manual,Used,7990,125.0,2012,11
BMW 118,BMW,118,150000,Diesel,Manual,Used,7999,143.0,2012,11
Mercedes-Benz B 180,Mercedes-Benz,B 180,165000,Diesel,Manual,Used,8000,109.0,2012,11
Renault Scenic,Renault,Scenic,51200,Gasoline,Manual,Used,8000,131.0,2012,11
Opel Insignia,Opel,Insignia,107000,Diesel,Manual,Used,8000,160.0,2012,11
MINI One,MINI,One,130000,Gasoline,Manual,Used,8000,98.0,2012,11
BMW 320,BMW,320,214000,Diesel,Automatic,Used,8199,184.0,2012,11
Opel Zafira,Opel,Zafira,73760,Gasoline,Manual,Used,8990,140.0,2013,10
Opel Adam,Opel,Adam,7400,Gasoline,Manual,Used,8990,101.0,2013,10
BMW 520,BMW,520,239211,Diesel,Automatic,Used,8990,184.0,2013,10
Ford B-Max,Ford,B-Max,86980,Gasoline,Manual,Used,8995,120.0,2013,10
Volkswagen Golf Variant,Volkswagen,Golf Variant,98000,Diesel,Automatic,Used,8999,105.0,2013,10
Ford Transit,Ford,Transit,98988,Diesel,Manual,Used,8999,101.0,2013,10
Opel Adam,Opel,Adam,41124,Gasoline,Manual,Used,8999,101.0,2013,10
Volkswagen Touran,Volkswagen,Touran,170000,Diesel,Manual,Used,8999,140.0,2013,10
Volkswagen Touran,Volkswagen,Touran,143316,Gasoline,Automatic,Used,9000,140.0,2013,10
SEAT Leon,SEAT,Leon,98100,Gasoline,Manual,Used,9100,122.0,2013,10
Audi A1,Audi,A1,113000,Gasoline,Manual,Used,9100,86.0,2013,10
Volkswagen Golf Variant,Volkswagen,Golf Variant,94000,Diesel,Manual,Used,9200,105.0,2013,10
Volkswagen Golf Plus,Volkswagen,Golf Plus,77000,Gasoline,Automatic,Used,9300,122.0,2013,10
Ford Fiesta,Ford,Fiesta,45600,Gasoline,Manual,Used,8990,80.0,2014,9
Volkswagen Polo,Volkswagen,Polo,99756,Gasoline,Manual,Used,8990,105.0,2014,9
Toyota Yaris,Toyota,Yaris,84600,Electric,Automatic,Used,8990,143.0,2014,9
Volkswagen Golf Variant,Volkswagen,Golf Variant,133180,Diesel,Manual,Used,8990,105.0,2014,9
Volkswagen up!,Volkswagen,up!,22700,Gasoline,Manual,Used,8990,60.0,2014,9
Skoda Rapid/Spaceback,Skoda,Rapid/Spaceback,53000,Gasoline,Manual,Used,8999,105.0,2014,9
BMW 116,BMW,116,149786,Gasoline,Manual,Used,8999,136.0,2014,9
Volkswagen Passat Variant,Volkswagen,Passat Variant,197500,Diesel,Manual,Used,8999,140.0,2014,9
Kia Ceed / cee'd,Kia,Ceed / cee'd,57000,Gasoline,Manual,Used,9000,99.0,2014,9
Skoda Fabia,Skoda,Fabia,53286,Gasoline,Manual,Used,9100,86.0,2014,9
Toyota Yaris,Toyota,Yaris,84721,Gasoline,Automatic,Used,9200,101.0,2014,9
Audi A1,Audi,A1,111000,Gasoline,Manual,Used,9200,122.0,2014,9
SEAT Ibiza,SEAT,Ibiza,87500,Diesel,Manual,Used,9290,105.0,2014,9
Skoda Rapid/Spaceback,Skoda,Rapid/Spaceback,55000,Gasoline,Manual,Used,9300,105.0,2014,9
Volkswagen Polo,Volkswagen,Polo,77000,Gasoline,Manual,Used,9300,90.0,2014,9
Volkswagen Golf Variant,Volkswagen,Golf Variant,166000,Diesel,Automatic,Used,9400,105.0,2014,9
Ford C-Max,Ford,C-Max,55000,Gasoline,Manual,Used,9450,101.0,2014,9
Volkswagen Golf Variant,Volkswagen,Golf Variant,140000,Diesel,Automatic,Used,9990,110.0,2015,8
Ford Focus,Ford,Focus,160000,Diesel,Automatic,Used,9999,120.0,2015,8
Audi A4,Audi,A4,240000,Diesel,Manual,Used,9999,190.0,2015,8
Opel Meriva,Opel,Meriva,28238,Gasoline,Manual,Used,10190,140.0,2015,8
Opel Insignia,Opel,Insignia,114327,Diesel,Automatic,Used,10200,131.0,2015,8
Volkswagen Polo,Volkswagen,Polo,80575,Diesel,Manual,Used,10299,105.0,2015,8
Ford B-Max,Ford,B-Max,79987,Gasoline,Automatic,Used,10444,105.0,2015,8
Skoda Superb,Skoda,Superb,166554,Diesel,Manual,Used,10490,170.0,2015,8
Ford C-Max,Ford,C-Max,47295,Gasoline,Manual,Used,10490,101.0,2015,8
Opel Insignia,Opel,Insignia,90000,Diesel,Manual,Used,10499,170.0,2015,8
Peugeot 208,Peugeot,208,60000,Gasoline,Manual,Used,10750,110.0,2015,8
Volkswagen Golf,Volkswagen,Golf,118000,Diesel,Manual,Used,10950,150.0,2015,8
Volkswagen Golf,Volkswagen,Golf,87000,Gasoline,Manual,Used,10950,110.0,2015,8
Suzuki Swift,Suzuki,Swift,29000,Gasoline,Manual,Used,8990,94.0,2016,7
Volkswagen Passat Variant,Volkswagen,Passat Variant,198000,Diesel,Manual,Used,8999,120.0,2016,7
Dacia Sandero,Dacia,Sandero,15000,Gasoline,Manual,Used,9000,90.0,2016,7
Mazda 2,Mazda,2,57800,Gasoline,Manual,Used,9250,90.0,2016,7
Ford B-Max,Ford,B-Max,86900,Gasoline,Manual,Used,9380,101.0,2016,7
Volkswagen up!,Volkswagen,up!,56617,Gasoline,Manual,Used,9440,90.0,2016,7
Toyota Yaris,Toyota,Yaris,70604,Gasoline,Manual,Used,9490,69.0,2016,7
Toyota Yaris,Toyota,Yaris,68656,Gasoline,Manual,Used,9490,69.0,2016,7
Toyota Yaris,Toyota,Yaris,64783,Gasoline,Manual,Used,9490,69.0,2016,7
Opel Astra,Opel,Astra,146148,Diesel,Manual,Used,9495,136.0,2016,7
Opel Astra,Opel,Astra,106300,Diesel,Manual,Used,9499,160.0,2016,7
Volkswagen Passat Variant,Volkswagen,Passat Variant,179200,Diesel,Manual,Used,9499,120.0,2016,7
Opel Adam,Opel,Adam,63000,Gasoline,Manual,Used,9500,87.0,2016,7
Peugeot 308,Peugeot,308,154494,Diesel,Manual,Used,9500,120.0,2016,7
Suzuki Swift,Suzuki,Swift,72500,Gasoline,Manual,Used,9650,136.0,2016,7
Opel Astra,Opel,Astra,93300,Diesel,Manual,Used,9680,110.0,2016,7
Opel Astra,Opel,Astra,96999,Diesel,Manual,Used,9690,136.0,2016,7
Kia Ceed / cee'd,Kia,Ceed / cee'd,39990,Gasoline,Manual,Used,9690,101.0,2016,7
Audi A4,Audi,A4,66106,Gasoline,Automatic,Used,20990,150.0,2017,6
Audi A6,Audi,A6,55000,Gasoline,Automatic,Used,34905,252.0,2017,6
smart forTwo,smart,forTwo,74000,Gasoline,Manual,Used,5555,71.0,2017,6
SEAT Mii,SEAT,Mii,31500,Gasoline,Manual,Used,5780,60.0,2017,6
SEAT Mii,SEAT,Mii,62490,Gasoline,Manual,Used,6390,60.0,2017,6
Volkswagen up!,Volkswagen,up!,100870,Gasoline,Manual,Used,6445,60.0,2017,6
Skoda Citigo,Skoda,Citigo,35450,Gasoline,Manual,Used,6445,60.0,2017,6
Volkswagen up!,Volkswagen,up!,65635,Gasoline,Manual,Used,6490,60.0,2017,6
Toyota Aygo,Toyota,Aygo,83000,Gasoline,Manual,Used,6500,69.0,2017,6
Dacia Sandero,Dacia,Sandero,35000,Gasoline,Manual,Used,6700,90.0,2017,6
Volkswagen up!,Volkswagen,up!,35093,Gasoline,Manual,Used,6750,60.0,2017,6
Hyundai i10,Hyundai,i10,61000,Gasoline,Manual,Used,6900,67.0,2017,6
Ford Fiesta,Ford,Fiesta,118759,Diesel,Manual,Used,6990,95.0,2017,6
smart forFour,smart,forFour,31500,Gasoline,Manual,Used,6999,71.0,2017,6
Ford Fiesta,Ford,Fiesta,77403,Diesel,Manual,Used,7090,75.0,2017,6
Audi A4,Audi,A4,59990,Diesel,Automatic,Used,32940,218.0,2018,5
Audi A6,Audi,A6,54496,Diesel,Automatic,Used,35480,231.0,2018,5
Volkswagen Tiguan,Volkswagen,Tiguan,51878,Diesel,Automatic,Used,35490,239.0,2018,5
Audi Q5,Audi,Q5,39580,Diesel,Automatic,Used,39444,190.0,2018,5
Audi Q5,Audi,Q5,49394,Diesel,Automatic,Used,42480,190.0,2018,5
Audi Q5,Audi,Q5,68900,Diesel,Automatic,Used,43900,286.0,2018,5
Audi A6,Audi,A6,93390,Diesel,Automatic,Used,44984,286.0,2018,5
Volvo XC90,Volvo,XC90,60188,Diesel,Automatic,Used,45990,235.0,2018,5
BMW X3,BMW,X3,52070,Diesel,Automatic,Used,46890,265.0,2018,5
Ford Focus,Ford,Focus,13710,Gasoline,Automatic,Used,26480,150.0,2019,4
Audi A4,Audi,A4,27949,Diesel,Automatic,Used,26880,150.0,2019,4
Ford Focus,Ford,Focus,22500,Gasoline,Automatic,Demonstration,26880,150.0,2019,4
Volkswagen Tiguan,Volkswagen,Tiguan,34450,Diesel,Automatic,Used,26980,150.0,2019,4
Volkswagen T-Roc,Volkswagen,T-Roc,35950,Diesel,Automatic,Used,27440,150.0,2019,4
Audi A4,Audi,A4,12178,Gasoline,Manual,Used,27440,150.0,2019,4
Volkswagen Passat Variant,Volkswagen,Passat Variant,41365,Diesel,Automatic,Used,27490,190.0,2019,4
Mercedes-Benz Vito,Mercedes-Benz,Vito,31900,Diesel,Automatic,Used,27600,163.0,2019,4
Audi A4,Audi,A4,45700,Diesel,Automatic,Used,27980,150.0,2019,4
SEAT Ateca,SEAT,Ateca,9243,Gasoline,Automatic,Used,28250,150.0,2019,4
Ford Kuga,Ford,Kuga,8650,Diesel,Automatic,Employee's car,28980,179.0,2019,4
Ford Kuga,Ford,Kuga,9290,Diesel,Automatic,Employee's car,29980,179.0,2019,4
Ford Kuga,Ford,Kuga,8650,Diesel,Automatic,Employee's car,29980,179.0,2019,4
Audi A4,Audi,A4,2955,Diesel,Automatic,Used,29994,150.0,2019,4
Ford Transit,Ford,Transit,1060,Diesel,Manual,Used,30452,131.0,2019,4
BMW 320,BMW,320,27500,Diesel,Automatic,Used,30675,190.0,2019,4
Audi A6,Audi,A6,23490,Electric,Automatic,Used,59440,367.0,2020,3
Audi Q5,Audi,Q5,19000,Electric,Automatic,Demonstration,59850,367.0,2020,3
Fiat Panda,Fiat,Panda,100,Gasoline,Manual,Pre-registered,10600,69.0,2021,2
Fiat Panda,Fiat,Panda,15,Electric,Manual,Pre-registered,10680,69.0,2021,2
Toyota Aygo,Toyota,Aygo,20,Gasoline,Manual,Pre-registered,10823,72.0,2021,2
Fiat Panda,Fiat,Panda,15,Electric,Manual,Pre-registered,10980,69.0,2021,2
Toyota Aygo,Toyota,Aygo,10,Gasoline,Manual,Pre-registered,10997,72.0,2021,2
Toyota Aygo,Toyota,Aygo,9,Gasoline,Manual,Pre-registered,11490,72.0,2021,2
Hyundai i10,Hyundai,i10,100,Gasoline,Manual,Pre-registered,11499,67.0,2021,2
Toyota Aygo,Toyota,Aygo,10,Gasoline,Manual,Pre-registered,11790,72.0,2021,2
Kia Picanto,Kia,Picanto,10,Gasoline,Manual,Pre-registered,11950,84.0,2021,2
Toyota Aygo,Toyota,Aygo,10,Gasoline,Manual,Pre-registered,11990,72.0,2021,2
Volkswagen Golf,Volkswagen,Golf,132500,Gasoline,Automatic,Used,7800,122.0,2011,12
Ford Focus,Ford,Focus,123600,Gasoline,Manual,Used,7885,150.0,2011,12
Opel Astra,Opel,Astra,95963,Gasoline,Manual,Used,7900,120.0,2011,12
Nissan Qashqai,Nissan,Qashqai,71908,Gasoline,Manual,Used,7900,117.0,2011,12
Kia Ceed / cee'd,Kia,Ceed / cee'd,93510,Gasoline,Manual,Used,7900,90.0,2011,12
Volkswagen Passat Variant,Volkswagen,Passat Variant,131322,Gasoline,Manual,Used,7900,122.0,2011,12
Volkswagen Passat Variant,Volkswagen,Passat Variant,228000,Diesel,Manual,Used,7900,170.0,2011,12
Volkswagen Golf,Volkswagen,Golf,87216,Gasoline,Manual,Used,7970,122.0,2011,12
Ford Focus,Ford,Focus,120600,Gasoline,Manual,Used,7970,150.0,2011,12
Volkswagen Polo,Volkswagen,Polo,119850,Gasoline,Automatic,Used,7990,86.0,2011,12
Volkswagen Passat Variant,Volkswagen,Passat Variant,154500,Gasoline,Manual,Used,7990,160.0,2011,12
Renault Megane,Renault,Megane,92800,Gasoline,Manual,Used,7990,131.0,2011,12
Volkswagen Golf,Volkswagen,Golf,118210,Gasoline,Manual,Used,7990,160.0,2011,12
Opel Zafira,Opel,Zafira,86000,Gasoline,Manual,Used,7998,116.0,2011,12
Toyota Auris,Toyota,Auris,24170,Gasoline,Automatic,Used,7999,132.0,2011,12
Volkswagen Passat Variant,Volkswagen,Passat Variant,188758,Diesel,Manual,Used,7999,140.0,2011,12
Volkswagen Passat,Volkswagen,Passat,107001,Gasoline,Manual,Used,7999,122.0,2011,12
Ford C-Max,Ford,C-Max,81179,Gasoline,Manual,Used,7900,105.0,2012,11
Toyota Yaris,Toyota,Yaris,98669,Electric,Automatic,Used,7900,75.0,2012,11
Skoda Fabia,Skoda,Fabia,86747,Gasoline,Manual,Used,7900,86.0,2012,11
Skoda Superb,Skoda,Superb,147500,Diesel,Manual,Used,7900,140.0,2012,11
Volkswagen Golf Plus,Volkswagen,Golf Plus,89400,Gasoline,Manual,Used,7980,122.0,2012,11
Skoda Octavia,Skoda,Octavia,100000,Gasoline,Manual,Used,7980,122.0,2012,11
Opel Corsa,Opel,Corsa,14300,Gasoline,Automatic,Used,7990,101.0,2012,11
Opel Astra,Opel,Astra,102000,Gasoline,Manual,Used,7990,179.0,2012,11
Ford Mondeo,Ford,Mondeo,123000,Gasoline,Manual,Used,7990,160.0,2012,11
Toyota Yaris,Toyota,Yaris,70600,Gasoline,Automatic,Used,7990,99.0,2012,11
Kia Ceed / cee'd,Kia,Ceed / cee'd,35300,Gasoline,Manual,Used,7990,99.0,2012,11
Volkswagen Passat,Volkswagen,Passat,128000,Gasoline,Manual,Used,7990,122.0,2012,11
Toyota Auris,Toyota,Auris,105531,Gasoline,Automatic,Used,7999,99.0,2012,11
Volkswagen Passat Variant,Volkswagen,Passat Variant,110405,Gasoline,Manual,Used,7999,122.0,2012,11
BMW 320,BMW,320,261000,Diesel,Automatic,Used,8000,184.0,2012,11
Toyota Yaris,Toyota,Yaris,82822,Electric,Automatic,Used,8500,75.0,2013,10
Skoda Rapid/Spaceback,Skoda,Rapid/Spaceback,35000,Gasoline,Manual,Used,8500,105.0,2013,10
Opel Adam,Opel,Adam,44700,Gasoline,Manual,Used,8500,69.0,2013,10
Mazda 3,Mazda,3,77820,Gasoline,Manual,Used,8550,105.0,2013,10
Ford Focus,Ford,Focus,31000,Gasoline,Manual,Used,8679,125.0,2013,10
Volkswagen Polo,Volkswagen,Polo,46000,Gasoline,Manual,Used,8699,69.0,2013,10
Ford B-Max,Ford,B-Max,50000,Gasoline,Manual,Used,8699,101.0,2013,10
Peugeot 2008,Peugeot,2008,75800,Gasoline,Manual,Used,8700,82.0,2013,10
Opel Astra,Opel,Astra,54689,Gasoline,Manual,Used,8740,140.0,2013,10
Hyundai i20,Hyundai,i20,53998,Gasoline,Manual,Used,8880,86.0,2013,10
Peugeot 2008,Peugeot,2008,76796,Gasoline,Manual,Used,8885,120.0,2013,10
Skoda Yeti,Skoda,Yeti,84000,Diesel,Manual,Used,8888,110.0,2013,10
Opel Astra,Opel,Astra,85320,Gasoline,Manual,Used,8900,140.0,2013,10
Toyota Yaris,Toyota,Yaris,118070,Electric,Automatic,Used,8900,75.0,2013,10
Opel Astra,Opel,Astra,85183,Gasoline,Manual,Used,8898,140.0,2014,9
Volkswagen up!,Volkswagen,up!,53795,Gasoline,Manual,Used,8900,60.0,2014,9
Volkswagen Golf,Volkswagen,Golf,167000,Diesel,Manual,Used,8950,110.0,2014,9
Volkswagen Golf,Volkswagen,Golf,182150,Gasoline,Manual,Used,8980,140.0,2014,9
Peugeot 308,Peugeot,308,68067,Gasoline,Manual,Used,8985,125.0,2014,9
Ford Focus,Ford,Focus,49252,Gasoline,Manual,Used,8990,125.0,2014,9
Opel Meriva,Opel,Meriva,124800,Gasoline,Automatic,Used,8990,140.0,2014,9
Ford B-Max,Ford,B-Max,91784,Gasoline,Manual,Used,8990,101.0,2014,9
Renault Captur,Renault,Captur,82500,Diesel,Manual,Used,8990,90.0,2014,9
Kia Picanto,Kia,Picanto,34100,Gasoline,Automatic,Used,8990,86.0,2014,9
Renault Megane,Renault,Megane,27241,Diesel,Manual,Used,8990,110.0,2014,9
Ford Focus,Ford,Focus,90173,Gasoline,Manual,Used,8990,101.0,2014,9
Renault Clio,Renault,Clio,54210,Gasoline,Automatic,Used,8990,120.0,2014,9
Peugeot 2008,Peugeot,2008,123559,Diesel,Automatic,Used,8995,92.0,2014,9
SEAT Leon,SEAT,Leon,73000,Gasoline,Manual,Used,9000,110.0,2014,9
Skoda Citigo,Skoda,Citigo,68220,Gasoline,Manual,Used,8900,75.0,2015,8
Opel Corsa,Opel,Corsa,62665,Gasoline,Automatic,Used,8950,90.0,2015,8
Volkswagen Passat Variant,Volkswagen,Passat Variant,172000,Diesel,Manual,Used,8990,120.0,2015,8
Skoda Rapid/Spaceback,Skoda,Rapid/Spaceback,53000,Gasoline,Manual,Used,8990,86.0,2015,8
Ford Mondeo,Ford,Mondeo,175488,Diesel,Manual,Used,8990,120.0,2015,8
Dacia Duster,Dacia,Duster,102690,Gasoline,Manual,Used,8990,125.0,2015,8
Renault Megane,Renault,Megane,49249,Gasoline,Manual,Used,8990,132.0,2015,8
Kia Rio,Kia,Rio,30100,Gasoline,Manual,Used,8990,86.0,2015,8
Kia Rio,Kia,Rio,69120,Diesel,Manual,Used,8990,90.0,2015,8
Skoda Fabia,Skoda,Fabia,53000,Other,Manual,Used,8990,110.0,2015,8
Skoda Octavia,Skoda,Octavia,285000,Diesel,Automatic,Used,9000,184.0,2015,8
Renault Scenic,Renault,Scenic,87200,Gasoline,Manual,Used,9250,132.0,2015,8
smart forFour,smart,forFour,20000,Gasoline,Automatic,Demonstration,9299,71.0,2015,8
Ford Focus,Ford,Focus,51833,Diesel,Manual,Used,9440,95.0,2015,8
Peugeot 208,Peugeot,208,43693,Gasoline,Manual,Used,9450,110.0,2015,8
Dacia Duster,Dacia,Duster,109750,Gasoline,Manual,Used,9450,105.0,2015,8
Volkswagen Caddy,Volkswagen,Caddy,88900,Gasoline,Manual,Used,9450,86.0,2015,8
Renault ZOE,Renault,ZOE,33000,Electric,Automatic,Used,8495,58.0,2016,7
Renault Clio,Renault,Clio,36300,Gasoline,Manual,Used,8499,90.0,2016,7
Renault Clio,Renault,Clio,36210,Gasoline,Manual,Used,8499,73.0,2016,7
Opel Meriva,Opel,Meriva,101850,Diesel,Manual,Used,8690,95.0,2016,7
Citroen C3,Citroen,C3,13832,Gasoline,Manual,Used,8690,82.0,2016,7
SEAT Ibiza,SEAT,Ibiza,49950,Gasoline,Manual,Used,8690,90.0,2016,7
Opel Astra,Opel,Astra,98700,Diesel,Manual,Used,8770,110.0,2016,7
SEAT Leon,SEAT,Leon,80000,Diesel,Manual,Used,8800,110.0,2016,7
Ford Fiesta,Ford,Fiesta,109859,Gasoline,Manual,Used,8840,125.0,2016,7
Skoda Fabia,Skoda,Fabia,82000,Gasoline,Manual,Used,8850,110.0,2016,7
Renault Megane,Renault,Megane,68300,Diesel,Manual,Used,8850,110.0,2016,7
Skoda Fabia,Skoda,Fabia,57644,Gasoline,Manual,Used,8850,90.0,2016,7
Opel Astra,Opel,Astra,110412,Diesel,Manual,Used,8880,95.0,2016,7
Nissan Micra,Nissan,Micra,34955,Gasoline,Manual,Used,8880,80.0,2016,7
Opel Insignia,Opel,Insignia,149889,Diesel,Automatic,Used,8890,136.0,2016,7
Volkswagen Golf,Volkswagen,Golf,138965,Diesel,Manual,Used,8890,110.0,2016,7
Skoda Fabia,Skoda,Fabia,69934,Diesel,Manual,Used,8890,90.0,2016,7
Volkswagen Golf Variant,Volkswagen,Golf Variant,113000,Diesel,Manual,Used,8900,110.0,2016,7
Hyundai i10,Hyundai,i10,3070,Gasoline,Manual,Used,7950,67.0,2017,6
Peugeot 208,Peugeot,208,60300,Gasoline,Manual,Used,7950,82.0,2017,6
Ford Fiesta,Ford,Fiesta,79883,Gasoline,Manual,Used,7985,101.0,2017,6
Nissan Micra,Nissan,Micra,36955,Gasoline,Manual,Used,7990,80.0,2017,6
Hyundai i10,Hyundai,i10,24162,Gasoline,Manual,Used,7990,67.0,2017,6
Skoda Fabia,Skoda,Fabia,78588,Gasoline,Manual,Used,7990,60.0,2017,6
Renault Clio,Renault,Clio,63200,Gasoline,Manual,Used,7990,90.0,2017,6
Nissan Micra,Nissan,Micra,68753,Gasoline,Manual,Used,7990,80.0,2017,6
Toyota Aygo,Toyota,Aygo,29731,Gasoline,Manual,Used,7990,69.0,2017,6
Renault Twingo,Renault,Twingo,29712,Gasoline,Manual,Used,7990,69.0,2017,6
Skoda Citigo,Skoda,Citigo,45401,Gasoline,Manual,Used,7990,75.0,2017,6
Ford Ka/Ka+,Ford,Ka/Ka+,42341,Gasoline,Manual,Used,7990,69.0,2017,6
Toyota Aygo,Toyota,Aygo,68360,Gasoline,Manual,Used,7990,69.0,2017,6
Renault Clio,Renault,Clio,28864,Gasoline,Manual,Used,7995,73.0,2017,6
Mitsubishi Space Star,Mitsubishi,Space Star,42000,Gasoline,Manual,Used,8000,80.0,2017,6
Ford Fiesta,Ford,Fiesta,46073,Gasoline,Manual,Used,8090,71.0,2017,6
Toyota Aygo,Toyota,Aygo,16000,Gasoline,Manual,Used,8100,69.0,2017,6
Fiat 500,Fiat,500,27547,Gasoline,Manual,Used,8190,69.0,2017,6
Fiat 500,Fiat,500,28323,Gasoline,Manual,Used,8190,69.0,2017,6
Volkswagen Caddy,Volkswagen,Caddy,6761,Gasoline,Manual,Used,19490,125.0,2018,5
Skoda Octavia,Skoda,Octavia,44626,Gasoline,Manual,Used,19940,179.0,2018,5
Volkswagen Passat Variant,Volkswagen,Passat Variant,86886,Diesel,Automatic,Used,24869,239.0,2018,5
Skoda Octavia,Skoda,Octavia,37076,Gasoline,Automatic,Used,27890,245.0,2018,5
Dacia Sandero,Dacia,Sandero,62302,Gasoline,Manual,Used,4700,73.0,2018,5
Mitsubishi Space Star,Mitsubishi,Space Star,17896,Gasoline,Manual,Used,6490,71.0,2018,5
Volkswagen up!,Volkswagen,up!,78000,Gasoline,Manual,Used,6490,60.0,2018,5
Skoda Citigo,Skoda,Citigo,84800,Gasoline,Manual,Used,6850,60.0,2018,5
Volkswagen up!,Volkswagen,up!,62608,Gasoline,Manual,Used,6930,60.0,2018,5
Audi Q5,Audi,Q5,50307,Diesel,Automatic,Used,45950,231.0,2019,4
Audi A6,Audi,A6,14584,Gasoline,Automatic,Used,48860,245.0,2019,4
Volvo XC60,Volvo,XC60,7441,Diesel,Automatic,Demonstration,49990,190.0,2019,4
Volvo XC60,Volvo,XC60,2300,Electric,Automatic,Demonstration,64800,392.0,2019,4
Ford Fiesta,Ford,Fiesta,23864,Gasoline,Manual,Employee's car,12970,95.0,2020,3
Ford Fiesta,Ford,Fiesta,25885,Gasoline,Manual,Employee's car,12980,95.0,2020,3
Renault Clio,Renault,Clio,5,Gasoline,Manual,Pre-registered,12995,101.0,2020,3
Ford Fiesta,Ford,Fiesta,19990,Gasoline,Manual,Employee's car,13330,95.0,2020,3
SEAT Ibiza,SEAT,Ibiza,2438,Gasoline,Manual,Demonstration,13950,80.0,2020,3
Ford EcoSport,Ford,EcoSport,18805,Gasoline,Manual,Employee's car,14990,101.0,2020,3
Ford EcoSport,Ford,EcoSport,9990,Gasoline,Manual,Employee's car,15490,101.0,2020,3
Ford EcoSport,Ford,EcoSport,18365,Gasoline,Manual,Employee's car,15790,101.0,2020,3
Ford Fiesta,Ford,Fiesta,23560,Gasoline,Manual,Employee's car,15880,125.0,2020,3
Ford Fiesta,Ford,Fiesta,9990,Electric,Manual,Employee's car,15970,125.0,2020,3
Ford Fiesta,Ford,Fiesta,6315,Electric,Manual,Employee's car,16450,125.0,2020,3
Mazda 2,Mazda,2,4246,Gasoline,Manual,Demonstration,16880,90.0,2020,3
Ford Focus,Ford,Focus,11570,Diesel,Manual,Employee's car,19390,150.0,2020,3
Ford Focus,Ford,Focus,7360,Diesel,Manual,Employee's car,19790,150.0,2020,3
Ford Focus,Ford,Focus,5050,Diesel,Manual,Employee's car,19970,150.0,2020,3
Ford Focus,Ford,Focus,8125,Diesel,Manual,Employee's car,19990,150.0,2020,3
Ford Puma,Ford,Puma,50,Gasoline,Manual,Pre-registered,19990,125.0,2020,3
Ford Focus,Ford,Focus,5050,Diesel,Manual,Employee's car,20385,150.0,2020,3
smart forTwo,smart,forTwo,135000,Diesel,Automatic,Used,3940,54.0,2011,12
Opel Astra,Opel,Astra,234730,Diesel,Automatic,Used,3949,160.0,2011,12
Hyundai i10,Hyundai,i10,42571,Gasoline,Manual,Used,3950,69.0,2011,12
Volkswagen Caddy,Volkswagen,Caddy,368777,Other,Manual,Used,3950,109.0,2011,12
Ford C-Max,Ford,C-Max,130274,Gasoline,Manual,Used,3950,150.0,2011,12
Hyundai i10,Hyundai,i10,107517,Gasoline,Manual,Used,3950,67.0,2011,12
Ford Focus,Ford,Focus,178304,Diesel,Manual,Used,3990,109.0,2011,12
Hyundai i30,Hyundai,i30,213990,Diesel,Manual,Used,3990,90.0,2011,12
Hyundai i10,Hyundai,i10,103000,Gasoline,Manual,Used,3990,69.0,2011,12
Opel Insignia,Opel,Insignia,416000,Diesel,Manual,Used,3990,160.0,2011,12
Renault Megane,Renault,Megane,169500,Diesel,Manual,Used,3990,106.0,2011,12
Hyundai i10,Hyundai,i10,43000,Gasoline,Manual,Used,3990,69.0,2011,12
Fiat Panda,Fiat,Panda,51174,Gasoline,Manual,Used,3990,69.0,2011,12
Opel Astra,Opel,Astra,199000,Diesel,Manual,Used,3999,110.0,2011,12
